Sample 0  Fri Sep 14 17:25:47 2018

color_value[36] = [2.345, 1.935, 1.045], sample_value[36] = 1536945944
color_value[37] = [1.0, 1.0, 1.0], sample_value[37] = 1536945944
color_value[38] = [1.0, 1.0, 0.995], sample_value[38] = 1536945944
color_value[39] = [1.0, 1.0, 1.0], sample_value[39] = 1536945944
color_value[40] = [3.43, 3.365, 1.8825], sample_value[40] = 1536945944
color_value[41] = [24.0075, 21.4, 10.98], sample_value[41] = 1536945944
color_value[42] = [96.7925, 82.395, 50.535], sample_value[42] = 1536945944
color_value[43] = [84.9325, 69.8125, 38.615], sample_value[43] = 1536945944
color_value[44] = [2.5975, 1.995, 1.0], sample_value[44] = 1536945944
color_value[45] = [1.0475, 0.9475, 1.2175], sample_value[45] = 1536945944
color_value[46] = [1.0, 1.0, 1.0], sample_value[46] = 1536945944
color_value[47] = [1.0, 1.0, 1.0], sample_value[47] = 1536945944


Sample 2  Fri Sep 14 17:35:47 2018

color_value[ 0] = [1.0, 1.0, 1.0], sample_value[ 0] = 1536945944
color_value[ 1] = [1.0, 1.0, 1.0], sample_value[ 1] = 1536945944
color_value[ 2] = [1.0, 1.0, 1.0], sample_value[ 2] = 1536945944
color_value[ 3] = [1.0, 1.0, 1.0], sample_value[ 3] = 1536945944
color_value[ 4] = [1.0, 1.0, 1.0], sample_value[ 4] = 1536945944
color_value[ 5] = [1.0, 1.0, 1.0], sample_value[ 5] = 1536945944
color_value[ 6] = [1.0, 1.0, 1.0], sample_value[ 6] = 1536945944
color_value[ 7] = [1.0, 1.0, 1.0], sample_value[ 7] = 1536945944
color_value[ 8] = [1.0, 1.0, 1.0], sample_value[ 8] = 1536945944
color_value[ 9] = [1.0, 1.0, 1.0], sample_value[ 9] = 1536945944
color_value[10] = [1.0, 1.0, 1.0], sample_value[10] = 1536945944
color_value[11] = [1.0, 1.0, 1.0], sample_value[11] = 1536945944
color_value[12] = [1.0, 1.0, 1.0], sample_value[12] = 1536945944
color_value[13] = [1.0, 1.0, 1.0], sample_value[13] = 1536945944
color_value[14] = [1.0, 1.0, 1.0], sample_value[14] = 1536945944
color_value[15] = [1.0, 1.0, 1.0], sample_value[15] = 1536945944
color_value[16] = [1.0, 1.0, 1.0], sample_value[16] = 1536945944
color_value[17] = [1.0, 1.0, 1.0], sample_value[17] = 1536945944
color_value[18] = [0.9775, 1.0225, 1.0], sample_value[18] = 1536945944
color_value[19] = [1.0, 1.0, 1.0], sample_value[19] = 1536945944
color_value[20] = [1.0, 1.0, 1.0], sample_value[20] = 1536945944
color_value[21] = [1.0, 1.0, 1.0], sample_value[21] = 1536945944
color_value[22] = [1.0, 1.0, 1.0], sample_value[22] = 1536945944
color_value[23] = [1.0, 1.0, 1.0], sample_value[23] = 1536945944
color_value[24] = [1.04, 0.96, 1.02], sample_value[24] = 1536945944
color_value[25] = [0.9975, 0.945, 0.95], sample_value[25] = 1536945944
color_value[26] = [1.0975, 0.98, 0.86], sample_value[26] = 1536945944
color_value[27] = [6.8775, 5.5475, 2.7675], sample_value[27] = 1536945944
color_value[28] = [1.0075, 0.925, 0.9425], sample_value[28] = 1536945944
color_value[29] = [1.0, 1.0, 1.0], sample_value[29] = 1536945944
color_value[30] = [1.0, 1.0, 1.0], sample_value[30] = 1536945944
color_value[31] = [1.0, 1.0, 1.0], sample_value[31] = 1536945944
color_value[32] = [2.18, 2.2875, 1.6425], sample_value[32] = 1536945944
color_value[33] = [24.955, 22.105, 15.665], sample_value[33] = 1536945944
color_value[34] = [90.635, 75.4175, 40.0825], sample_value[34] = 1536945944
color_value[35] = [31.84, 24.245, 11.1425], sample_value[35] = 1536945944
color_value[36] = [2.6525, 1.835, 1.095], sample_value[36] = 1536945944
color_value[37] = [1.0, 1.0, 1.0], sample_value[37] = 1536945944
color_value[38] = [1.0, 1.0, 0.995], sample_value[38] = 1536945944
color_value[39] = [1.0, 1.0, 1.0], sample_value[39] = 1536945944
color_value[40] = [3.56, 3.0825, 2.2425], sample_value[40] = 1536945944
color_value[41] = [25.98, 21.22, 12.4825], sample_value[41] = 1536945944
color_value[42] = [101.4025, 79.885, 46.8725], sample_value[42] = 1536945944
color_value[43] = [90.27, 67.8375, 39.6275], sample_value[43] = 1536945944
color_value[44] = [3.08, 2.145, 0.98], sample_value[44] = 1536945944
color_value[45] = [1.01, 0.9925, 0.9575], sample_value[45] = 1536945944
color_value[46] = [1.0, 1.0, 1.0], sample_value[46] = 1536945944
color_value[47] = [1.0, 1.0, 1.0], sample_value[47] = 1536945944


Sample 3  Fri Sep 14 17:40:47 2018

color_value[ 0] = [1.0, 1.0, 1.0], sample_value[ 0] = 1536945944
color_value[ 1] = [1.0, 1.0, 1.0], sample_value[ 1] = 1536945944
color_value[ 2] = [1.0, 1.0, 1.0], sample_value[ 2] = 1536945944
color_value[ 3] = [1.0, 1.0, 1.0], sample_value[ 3] = 1536945944
color_value[ 4] = [1.0, 1.0, 1.0], sample_value[ 4] = 1536945944
color_value[ 5] = [1.0, 1.0, 1.0], sample_value[ 5] = 1536945944
color_value[ 6] = [1.0, 1.0, 1.0], sample_value[ 6] = 1536945944
color_value[ 7] = [1.0, 1.0, 1.0], sample_value[ 7] = 1536945944
color_value[ 8] = [1.0, 1.0, 1.0], sample_value[ 8] = 1536945944
color_value[ 9] = [1.0, 1.0, 1.0], sample_value[ 9] = 1536945944
color_value[10] = [1.0, 1.0, 1.0], sample_value[10] = 1536945944
color_value[11] = [1.0, 1.0, 1.0], sample_value[11] = 1536945944
color_value[12] = [1.0, 1.0, 1.0], sample_value[12] = 1536945944
color_value[13] = [1.0, 1.0, 1.0], sample_value[13] = 1536945944
color_value[14] = [1.0, 1.0, 1.0], sample_value[14] = 1536945944
color_value[15] = [1.0, 1.0, 1.0], sample_value[15] = 1536945944
color_value[16] = [1.0, 1.0, 1.0], sample_value[16] = 1536945944
color_value[17] = [1.0, 1.0, 1.0], sample_value[17] = 1536945944
color_value[18] = [1.0, 1.0, 0.99], sample_value[18] = 1536945944
color_value[19] = [1.0, 1.0, 1.0], sample_value[19] = 1536945944
color_value[20] = [1.0, 1.0, 1.0], sample_value[20] = 1536945944
color_value[21] = [1.0, 1.0, 1.0], sample_value[21] = 1536945944
color_value[22] = [1.0, 1.0, 1.0], sample_value[22] = 1536945944
color_value[23] = [1.0, 1.0, 1.0], sample_value[23] = 1536945944
color_value[24] = [1.02, 0.98, 1.0], sample_value[24] = 1536945944
color_value[25] = [0.985, 0.94, 0.9], sample_value[25] = 1536945944
color_value[26] = [1.125, 1.205, 0.985], sample_value[26] = 1536945944
color_value[27] = [7.12, 5.3225, 2.885], sample_value[27] = 1536945944
color_value[28] = [0.9925, 0.9925, 1.02], sample_value[28] = 1536945944
color_value[29] = [1.0, 1.0, 1.0], sample_value[29] = 1536945944
color_value[30] = [1.0, 1.0, 1.0], sample_value[30] = 1536945944
color_value[31] = [1.0, 1.0, 1.0], sample_value[31] = 1536945944
color_value[32] = [2.19, 2.215, 1.915], sample_value[32] = 1536945944
color_value[33] = [24.4, 22.485, 16.42], sample_value[33] = 1536945944
color_value[34] = [86.635, 74.0975, 42.0475], sample_value[34] = 1536945944
color_value[35] = [30.9675, 24.145, 10.7275], sample_value[35] = 1536945944
color_value[36] = [2.405, 1.735, 1.035], sample_value[36] = 1536945944
color_value[37] = [1.0, 1.0, 1.0], sample_value[37] = 1536945944
color_value[38] = [1.0, 1.0, 1.0], sample_value[38] = 1536945944
color_value[39] = [1.0, 1.0, 1.0], sample_value[39] = 1536945944
color_value[40] = [3.105, 3.175, 1.805], sample_value[40] = 1536945944
color_value[41] = [24.29, 20.0925, 12.975], sample_value[41] = 1536945944
color_value[42] = [100.42, 79.875, 52.9175], sample_value[42] = 1536945944
color_value[43] = [85.065, 69.775, 38.195], sample_value[43] = 1536945944
color_value[44] = [2.9575, 2.14, 1.0075], sample_value[44] = 1536945944
color_value[45] = [0.9775, 0.9875, 1.1825], sample_value[45] = 1536945944
color_value[46] = [1.0, 1.0, 1.0], sample_value[46] = 1536945944
color_value[47] = [1.0, 1.0, 1.0], sample_value[47] = 1536945944


Sample 4  Fri Sep 14 17:45:47 2018

color_value[ 0] = [1.0, 1.0, 1.0], sample_value[ 0] = 1536945944
color_value[ 1] = [1.0, 1.0, 1.0], sample_value[ 1] = 1536945944
color_value[ 2] = [1.0, 1.0, 1.0], sample_value[ 2] = 1536945944
color_value[ 3] = [1.0, 1.0, 1.0], sample_value[ 3] = 1536945944
color_value[ 4] = [1.0, 1.0, 1.0], sample_value[ 4] = 1536945944
color_value[ 5] = [1.0, 1.0, 1.0], sample_value[ 5] = 1536945944
color_value[ 6] = [1.0, 1.0, 1.0], sample_value[ 6] = 1536945944
color_value[ 7] = [1.0, 1.0, 1.0], sample_value[ 7] = 1536945944
color_value[ 8] = [1.0, 1.0, 1.0], sample_value[ 8] = 1536945944
color_value[ 9] = [1.0, 1.0, 1.0], sample_value[ 9] = 1536945944
color_value[10] = [1.0, 1.0, 1.0], sample_value[10] = 1536945944
color_value[11] = [1.0, 1.0, 1.0], sample_value[11] = 1536945944
color_value[12] = [1.0, 1.0, 1.0], sample_value[12] = 1536945944
color_value[13] = [1.0, 1.0, 1.0], sample_value[13] = 1536945944
color_value[14] = [1.0, 1.0, 1.0], sample_value[14] = 1536945944
color_value[15] = [1.0, 1.0, 1.0], sample_value[15] = 1536945944
color_value[16] = [1.0, 1.0, 1.0], sample_value[16] = 1536945944
color_value[17] = [1.0, 1.0, 1.0], sample_value[17] = 1536945944
color_value[18] = [0.96, 1.04, 1.05], sample_value[18] = 1536945944
color_value[19] = [1.0, 1.0, 1.0], sample_value[19] = 1536945944
color_value[20] = [1.0, 1.0, 1.0], sample_value[20] = 1536945944
color_value[21] = [1.0, 1.0, 1.0], sample_value[21] = 1536945944
color_value[22] = [1.0, 1.0, 1.0], sample_value[22] = 1536945944
color_value[23] = [1.0, 1.0, 1.0], sample_value[23] = 1536945944
color_value[24] = [0.97, 1.03, 1.09], sample_value[24] = 1536945944
color_value[25] = [0.975, 0.9675, 1.025], sample_value[25] = 1536945944
color_value[26] = [1.275, 1.1025, 0.92], sample_value[26] = 1536945944
color_value[27] = [6.6675, 5.01, 2.655], sample_value[27] = 1536945944
color_value[28] = [0.9825, 1.02, 0.99], sample_value[28] = 1536945944
color_value[29] = [1.0, 1.0, 1.0], sample_value[29] = 1536945944
color_value[30] = [1.0, 1.0, 1.0], sample_value[30] = 1536945944
color_value[31] = [1.0, 1.0, 1.0], sample_value[31] = 1536945944
color_value[32] = [2.27, 2.3725, 1.7525], sample_value[32] = 1536945944
color_value[33] = [26.02, 22.5625, 12.7225], sample_value[33] = 1536945944
color_value[34] = [90.97, 73.65, 41.915], sample_value[34] = 1536945944
color_value[35] = [31.335, 24.08, 10.9275], sample_value[35] = 1536945944
